Различните тъкани са изградени от различни видове _ келтки и _ вещество, което се образува в клетките на тъканта.;специализирани, междуклетъчно;Тема 1
Органите в животинския и човешки организъм се изграждат от _  тъкани, които работят съвместно, като всяка тъкан изпълнява своята _;различни, функция;Тема 1
В кухините на вътрешните органи _ тъкан и намиращата се под нея _ тъкан образуват лигавица.;пителната, съединителна;Тема 1
Едни жлези отделят секретите си на повърхността на тялото или в _ на вътрешните органи. Наричат се жлези с _ секреция.;кухините, външна;Тема 1
Едни видове от епителната тъкан имат _ функция за тялото - предпазват от увреждане лежащите под нея клетки и тъкани. Такава функция изпълняват външния слой на _ слой клетки на устната кухина и други.;защитна, кожата;Тема 1
Съединителната тъкан се състои от различни по строеж и _ клетки и голямо количество_ вещество.;форма, междуклетъчно;Тема 1
В междуклетъчното вещество се намират влакнести структури - _ влакна и _ влакна.;колагенови, еластични;Тема 1
Мастната тъкан е вид _ тъкан, чиито клетки са изпълнени с мазнини. Тя е разположена под _ около някои вътрешни органи и в други части на тялото.;съединителна, кожата;Тема 1
Костите и хрущялите изпълняват _ функция, а някои кости имат и _ функция, като предпазват различни меки органи от увреждане.;опорна, защитна;Тема 1
Пренасяйки различни вещества и _ кръвта изпълнява _ функция.;газове, транспортна;Тема 1
Скелетната мускулна тъкан е изградена от _ многоядрени клетки. Под микроскоп се вижда, че те са _ поради специфично подреждане на съкратителните белтъчни нишки.;дълги, напречно набраздени;Тема 1
Гладката мускулна тъкан се състои от по-къси _ клетки. Под микроскопте изглеждат _ без напречна набразденост.;вретеновидни, гладки;Тема 1
Сърдечната мускулна тъкан е изградена от _ клетки. Те са много по-_ от тези на скелетната мускулна тъкан.;напречно набраздени, къси;Тема 1
Нервната тъкан е изградена от нервни клетки - _ и _ клетки.;неврони, глиални;Тема 1
От нервната тъкан са изградени главният и _ мозък, както и _ възли и нервите в тялото.;гръбначния, нервни;Тема 1
Невроните имат тяло от което излизат множество къси разклонени израстъци, наречени _ и един дълъг израстък - _ който също се разклонява в края си.;дендрити, аксон;Тема 1
Повечето аксони са покрити с обвивка от _ която е образувана от _ клетки.;миелин, глиалните;Тема 1
Под влияние на дразнители невроните се _ при което в клетъчната мембрана възникват сигнали - _;възбуждат, нервни импулси;Тема 1
Предаването на нервните импулси от неврон на _ и от неврон на мускулна клетка става през специални структури, наречени _;неврон, синапси;Тема 1
Глиалните клетки са няколко вида и изпълняват различни функции: служат за механична опора на _ поемат различни вещества от междуклетъчното пространство, образуват _ обвивка, поглъщат и разрушават мъртви нервни клетки.;невроните, миелиновата;Тема 1
Мускулната и _ тъкан позволяват на организма да се ориентира в средата, да възприема нейните _ и да реагира на тях по най-подходящ начин.;нервната, дразнения;Тема 1
За да оцелее при екстремни условия, организмът трябва да притежава редица _ функционални и  _ приспособления.;структурни, биохимични;Тема 2
Макросистемата като равнище на организация на живата материя включва следните подсистеми: _ , _ и екосистеми.;популации, биоценози;Тема 2
Когато постъпилата в организма вода е в излишък, част от нея бързо се отделя чрез _ и потните _ на кожата.;бъбреците, жлези;Тема 2
При терморегулацията, когато телесната температура се повиши (или понижи), рецепторите в кожата усещат промяната и активират команда от _ в главния мозък за намаляване (или повишаване) на _ температура.;хипоталамуса, телесната;Тема 2
Хипофизата е под контрола на хипоталамусните хормони, които _ и _ нейната секреция.;стимулират, потискат;Тема 2
Витамин D се извлича от млечни продукти и _ или се синтезира в кожата _ облъчване.;риба, ултравиолетово;Тема 2
Нервната и хуморалната регулация са изградени и функционират на основата на _ принцип и на принципа на _ връзка.;йерархична, обратната;Тема 2
Секрецията на инсулин от панкреаса се _ , когато се увеличи глюкозата в кръвта и _ при нейното понижаване.;усилва, намалява;Тема 2
От ЦНС към скелетните мускули достигат _ импулси, които предизвикват _ на мускула.;нервни, съкращаване;Тема 2
Обратната връзка е механизъм, чрез който в една биосистема се предава сигнал от _ към нейния _;изхода, вход;Тема 2
